Category,Word,WF
Name of magical creature--pet--spider,Aragog,"defaultdict(<class 'list'>, {2: [(15, 19), (18, 1)], 5: [(31, 1), (33, 1)], 6: [(11, 4), (22, 14)], 7: [(28, 1), (34, 1)]})"
Name of magical creature--pet--thestral,Tenebrus,"defaultdict(<class 'list'>, {5: [(21, 1)]})"
Name of magical creature--pet--three-headed dog,Fluffy,"defaultdict(<class 'list'>, {1: [(11, 2), (13, 2), (14, 8), (15, 2), (16, 11), (17, 1)], 2: [(5, 1), (6, 2), (14, 1)], 3: [(4, 1), (13, 1), (19, 1), (22, 1)], 4: [(21, 1), (25, 2), (28, 1)], 5: [(7, 1), (11, 2), (12, 1), (24, 1)], 6: [(27, 1)], 7: [(6, 1), (12, 1), (13, 1), (16, 1), (25, 1)]})"
Name of wizard--Death Eater,Travers,"defaultdict(<class 'list'>, {4: [(30, 2)], 7: [(13, 1), (21, 1), (26, 35), (32, 1)]})"
Name of wizard--Death Eater,Yaxley,"defaultdict(<class 'list'>, {6: [(2, 1)], 7: [(1, 19), (12, 5), (13, 14), (14, 4), (32, 1), (34, 6), (36, 1)]})"
Name of wizard--Hogwarts Professor,Binns,"defaultdict(<class 'list'>, {1: [(8, 2), (16, 1)], 2: [(9, 14), (16, 1)], 3: [(1, 1)], 4: [(15, 1), (22, 2), (24, 1), (29, 1), (31, 1)], 5: [(12, 5), (17, 7), (29, 2)], 7: [(21, 1)]})"
Name of wizard--Hogwarts professor,Dumbledore,"defaultdict(<class 'list'>, {1: [(1, 36), (4, 9), (5, 4), (6, 9), (7, 9), (9, 2), (10, 1), (11, 3), (12, 10), (13, 8), (14, 4), (15, 2), (16, 15), (17, 31)], 2: [(2, 4), (4, 2), (5, 12), (6, 1), (7, 1), (8, 2), (9, 15), (10, 9), (11, 2), (12, 12), (13, 6), (14, 18), (15, 4), (16, 2), (17, 8), (18, 43)], 3: [(4, 4), (5, 12), (6, 1), (8, 10), (9, 13), (10, 11), (11, 15), (13, 1), (14, 3), (15, 1), (16, 4), (17, 2), (18, 5), (19, 1), (21, 29), (22, 37)], 4: [(2, 6), (5, 1), (10, 1), (11, 2), (12, 24), (13, 2), (14, 3), (15, 15), (16, 35), (17, 26), (18, 13), (19, 1), (20, 4), (21, 11), (22, 1), (23, 10), (24, 22), (25, 4), (26, 8), (27, 8), (28, 53), (29, 14), (30, 76), (31, 7), (33, 6), (34, 2), (35, 54), (36, 96), (37, 28)], 5: [(1, 1), (2, 19), (3, 1), (4, 19), (5, 24), (6, 8), (7, 1), (8, 45), (9, 16), (10, 2), (11, 25), (12, 6), (13, 15), (14, 10), (15, 7), (16, 6), (17, 2), (18, 8), (19, 1), (20, 15), (21, 1), (22, 56), (23, 12), (24, 11), (25, 9), (26, 13), (27, 56), (28, 9), (29, 5), (30, 4), (31, 5), (32, 9), (35, 7), (36, 42), (37, 89), (38, 8)], 6: [(1, 4), (2, 12), (3, 58), (4, 90), (5, 15), (6, 3), (7, 2), (8, 19), (9, 4), (10, 45), (11, 3), (12, 10), (13, 95), (14, 1), (15, 2), (16, 15), (17, 49), (18, 4), (19, 14), (20, 73), (21, 8), (22, 4), (23, 43), (24, 2), (25, 40), (26, 114), (27, 81), (28, 14), (29, 29), (30, 31)], 7: [(2, 34), (3, 1), (4, 2), (5, 7), (6, 16), (7, 27), (8, 16), (9, 4), (10, 24), (11, 14), (12, 5), (13, 6), (14, 6), (15, 19), (16, 21), (17, 6), (18, 43), (19, 2), (20, 21), (21, 1), (22, 13), (23, 1), (24, 10), (25, 7), (27, 8), (28, 11), (29, 5), (30, 1), (31, 7), (32, 2), (33, 57), (34, 8), (35, 64), (36, 18)]})"
Name of wizard--Hogwarts professor,Grubbly-Plank,"defaultdict(<class 'list'>, {})"
Name of wizard--Hogwarts student--Gryffindor--Dumbledore's Army,Harry,"defaultdict(<class 'list'>, {1: [(1, 19), (2, 73), (3, 64), (4, 45), (5, 132), (6, 106), (7, 55), (8, 43), (9, 67), (10, 75), (11, 63), (12, 89), (13, 58), (14, 42), (15, 84), (16, 112), (17, 86)], 2: [(1, 61), (2, 82), (3, 73), (4, 84), (5, 77), (6, 73), (7, 87), (8, 76), (9, 61), (10, 108), (11, 109), (12, 95), (13, 96), (14, 53), (15, 93), (16, 93), (17, 121), (18, 71)], 3: [(1, 72), (2, 78), (3, 99), (4, 95), (5, 128), (6, 91), (7, 36), (8, 90), (9, 77), (10, 102), (11, 88), (12, 106), (13, 81), (14, 116), (15, 94), (16, 68), (17, 74), (18, 18), (19, 55), (20, 43), (21, 153), (22, 104)], 4: [(1, 7), (2, 63), (3, 67), (4, 55), (5, 56), (6, 28), (7, 40), (8, 81), (9, 78), (10, 32), (11, 26), (12, 52), (13, 41), (14, 69), (15, 56), (16, 65), (17, 61), (18, 130), (19, 129), (20, 144), (21, 104), (22, 76), (23, 144), (24, 109), (25, 102), (26, 157), (27, 90), (28, 152), (29, 62), (30, 115), (31, 161), (32, 42), (33, 24), (34, 64), (35, 68), (36, 102), (37, 77)], 5: [(1, 90), (2, 96), (3, 85), (4, 101), (5, 71), (6, 77), (7, 84), (8, 41), (9, 130), (10, 104), (11, 71), (12, 121), (13, 122), (14, 114), (15, 75), (16, 96), (17, 103), (18, 121), (19, 88), (20, 38), (21, 107), (22, 95), (23, 95), (24, 145), (25, 112), (26, 132), (27, 100), (28, 103), (29, 117), (30, 118), (31, 96), (32, 95), (33, 54), (34, 87), (35, 149), (36, 65), (37, 116), (38, 117)], 6: [(1, 1), (2, 3), (3, 63), (4, 98), (5, 89), (6, 83), (7, 125), (8, 76), (9, 83), (10, 76), (11, 82), (12, 106), (13, 47), (14, 126), (15, 94), (16, 105), (17, 91), (18, 136), (19, 118), (20, 80), (21, 95), (22, 115), (23, 86), (24, 106), (25, 111), (26, 142), (27, 38), (28, 79), (29, 64), (30, 89)], 7: [(1, 5), (2, 26), (3, 83), (4, 100), (5, 113), (6, 98), (7, 105), (8, 87), (9, 74), (10, 102), (11, 86), (12, 84), (13, 92), (14, 72), (15, 110), (16, 76), (17, 94), (18, 23), (19, 102), (20, 70), (21, 60), (22, 79), (23, 123), (24, 125), (25, 69), (26, 100), (27, 18), (28, 49), (29, 70), (30, 62), (31, 130), (32, 74), (33, 65), (34, 49), (35, 79), (36, 143)]})"
Name of wizard--Hogwarts student--Gryffindor--Dumbledore's Army,Neville,"defaultdict(<class 'list'>, {1: [(6, 5), (7, 6), (8, 4), (9, 23), (10, 3), (11, 4), (13, 15), (15, 20), (16, 19), (17, 3)], 2: [(5, 2), (6, 11), (7, 2), (9, 1), (11, 5), (14, 5), (16, 1)], 3: [(3, 10), (4, 3), (5, 8), (6, 8), (7, 40), (8, 3), (11, 1), (12, 4), (13, 1), (14, 16), (15, 2), (16, 2)], 4: [(11, 5), (12, 3), (13, 2), (14, 30), (15, 4), (18, 1), (21, 8), (22, 4), (23, 5), (24, 1), (25, 1), (30, 3), (31, 1)], 5: [(9, 1), (10, 25), (11, 12), (12, 6), (13, 1), (15, 1), (16, 7), (17, 12), (18, 6), (19, 1), (21, 16), (22, 1), (23, 24), (25, 3), (26, 5), (27, 3), (29, 1), (31, 8), (32, 5), (33, 6), (34, 11), (35, 60), (36, 6), (37, 5), (38, 5)], 6: [(3, 1), (7, 32), (8, 1), (9, 6), (12, 2), (14, 1), (17, 2), (18, 3), (22, 1), (27, 1), (28, 2), (29, 8), (30, 3)], 7: [(12, 1), (15, 3), (16, 1), (21, 1), (28, 1), (29, 41), (31, 2), (32, 1), (34, 13), (36, 19)]})"
Name of wizard--Hogwarts student--Gryffindor--Dumbledore's Army,Ron,"defaultdict(<class 'list'>, {1: [(6, 64), (7, 11), (8, 20), (9, 37), (10, 44), (11, 21), (12, 49), (13, 39), (14, 30), (15, 11), (16, 65), (17, 19)], 2: [(1, 5), (2, 3), (3, 46), (4, 29), (5, 75), (6, 34), (7, 46), (8, 21), (9, 61), (10, 17), (11, 30), (12, 58), (13, 41), (14, 34), (15, 62), (16, 62), (17, 15), (18, 18)], 3: [(1, 13), (2, 2), (3, 2), (4, 41), (5, 76), (6, 51), (7, 32), (8, 45), (9, 19), (10, 27), (11, 75), (12, 26), (13, 43), (14, 51), (15, 38), (16, 48), (17, 46), (18, 12), (19, 25), (20, 10), (21, 14), (22, 24)], 4: [(2, 3), (3, 4), (4, 7), (5, 32), (6, 5), (7, 23), (8, 16), (9, 56), (10, 27), (11, 28), (12, 36), (13, 33), (14, 49), (15, 36), (16, 53), (17, 13), (18, 28), (19, 22), (20, 23), (21, 42), (22, 60), (23, 88), (24, 40), (25, 4), (26, 46), (27, 49), (28, 38), (29, 41), (31, 32), (36, 10), (37, 35)], 5: [(1, 7), (2, 1), (3, 2), (4, 43), (5, 11), (6, 24), (7, 2), (9, 69), (10, 52), (11, 39), (12, 64), (13, 66), (14, 85), (15, 48), (16, 45), (17, 54), (18, 38), (19, 50), (20, 43), (21, 55), (22, 21), (23, 36), (24, 27), (25, 29), (26, 36), (27, 10), (28, 14), (29, 20), (30, 21), (31, 57), (32, 25), (33, 13), (34, 28), (35, 26), (36, 2), (38, 27)], 6: [(4, 1), (5, 46), (6, 39), (7, 24), (8, 22), (9, 38), (10, 7), (11, 54), (12, 51), (13, 2), (14, 106), (15, 28), (16, 38), (17, 19), (18, 83), (19, 40), (20, 14), (21, 48), (22, 37), (24, 35), (25, 14), (26, 1), (27, 1), (28, 1), (29, 23), (30, 22)], 7: [(4, 13), (5, 14), (6, 82), (7, 71), (8, 26), (9, 56), (10, 24), (11, 36), (12, 60), (13, 17), (14, 33), (15, 57), (16, 9), (17, 1), (18, 2), (19, 87), (20, 47), (21, 36), (22, 60), (23, 51), (24, 35), (25, 26), (26, 45), (27, 16), (28, 14), (29, 28), (30, 1), (31, 52), (32, 37), (33, 7), (34, 6), (36, 20)]})"
Name of wizard--Ministry of Magic,Perkins,"defaultdict(<class 'list'>, {2: [(3, 1)], 4: [(7, 1)], 5: [(7, 3), (17, 1)], 7: [(8, 1), (14, 1)]})"
Name of wizard--nickname,Prongs,"defaultdict(<class 'list'>, {3: [(10, 1), (13, 1), (14, 2), (18, 2), (21, 2), (22, 3)], 5: [(28, 1)]})"
Name of wizard--nickname,Wormtail,"defaultdict(<class 'list'>, {3: [(10, 2), (13, 1), (14, 3), (18, 2), (21, 2), (22, 1)], 4: [(1, 34), (2, 6), (10, 2), (14, 1), (17, 1), (29, 7), (30, 4), (32, 20), (33, 28), (34, 6), (35, 6), (36, 2)], 5: [(5, 1), (9, 2), (28, 18)], 6: [(2, 6)], 7: [(1, 1), (23, 5), (24, 2)]})"
Name of wizard--shop owner--Hogsmeade,Rosmerta,"defaultdict(<class 'list'>, {3: [(10, 22)], 4: [(19, 1), (22, 1), (24, 3)], 6: [(12, 1), (21, 1), (25, 3), (27, 11), (29, 1)]})"
Name of wizard--snatcher,Scabior,"defaultdict(<class 'list'>, {7: [(23, 17)]})"
Name of wizard--wandmaker,Gregorovitch,"defaultdict(<class 'list'>, {4: [(18, 1)], 7: [(7, 6), (8, 6), (12, 6), (14, 14), (15, 1), (17, 2), (24, 7)]})"
Position in Quidditch,Beater,"defaultdict(<class 'list'>, {1: [(11, 1)], 3: [(13, 2), (15, 2)], 4: [(7, 1), (8, 1), (9, 1), (16, 1), (27, 1)], 6: [(14, 1)]})"
Position in Quidditch,Chaser,"defaultdict(<class 'list'>, {1: [(11, 5)], 3: [(13, 1), (15, 3)], 4: [(8, 1), (16, 1), (22, 1)], 5: [(14, 2), (19, 1), (26, 1)], 6: [(11, 1), (14, 3), (19, 1), (24, 2)], 7: [(7, 1)]})"
Spell,Aguamenti,"defaultdict(<class 'list'>, {6: [(11, 1), (26, 5), (28, 3)], 7: [(11, 1), (31, 1)]})"
Spell,Anapneo,"defaultdict(<class 'list'>, {6: [(7, 1)]})"
Spell,Aparecium,"defaultdict(<class 'list'>, {2: [(13, 1)]})"
Spell,Avis,"defaultdict(<class 'list'>, {4: [(18, 1)]})"
Spell,Brachiabindo,"defaultdict(<class 'list'>, {})"
Spell,Colloportus,"defaultdict(<class 'list'>, {5: [(35, 3)]})"
Spell,Confringo,"defaultdict(<class 'list'>, {7: [(4, 1), (17, 1)]})"
Spell,Confundo,"defaultdict(<class 'list'>, {7: [(26, 1)]})"
Spell,Defodio,"defaultdict(<class 'list'>, {7: [(26, 1)]})"
Spell,Deletrius,"defaultdict(<class 'list'>, {4: [(9, 1)]})"
Spell,Densaugeo,"defaultdict(<class 'list'>, {4: [(18, 1)]})"
Spell,Deprimo,"defaultdict(<class 'list'>, {7: [(21, 1)]})"
Spell,Descendo,"defaultdict(<class 'list'>, {7: [(6, 1), (31, 1)]})"
Spell,Diffindo,"defaultdict(<class 'list'>, {4: [(20, 1)], 5: [(35, 1)], 6: [(11, 1)], 7: [(9, 2), (13, 1), (19, 1)]})"
Spell,Duro,"defaultdict(<class 'list'>, {7: [(32, 1)]})"
Spell,Emancipare,"defaultdict(<class 'list'>, {})"
Spell,Engorgio,"defaultdict(<class 'list'>, {4: [(14, 1)], 7: [(20, 1)]})"
Spell,Episkey,"defaultdict(<class 'list'>, {6: [(8, 1), (14, 1)]})"
Spell,Erecto,"defaultdict(<class 'list'>, {7: [(14, 1)]})"
Spell,Evanesco,"defaultdict(<class 'list'>, {5: [(5, 1), (12, 1)]})"
Spell,Expulso,"defaultdict(<class 'list'>, {7: [(9, 1)]})"
Spell,Ferula,"defaultdict(<class 'list'>, {3: [(19, 1)]})"
Spell,Fiendfyre,"defaultdict(<class 'list'>, {7: [(31, 2)]})"
Spell,Flagrate,"defaultdict(<class 'list'>, {5: [(34, 1)]})"
Spell,Flipendo,"defaultdict(<class 'list'>, {})"
Spell,Fulgari,"defaultdict(<class 'list'>, {})"
Spell,Furnunculus,"defaultdict(<class 'list'>, {4: [(18, 1), (37, 1)]})"
Spell,Geminio,"defaultdict(<class 'list'>, {7: [(13, 1)]})"
Spell,Glisseo,"defaultdict(<class 'list'>, {7: [(32, 1)]})"
Spell,Impedimenta,"defaultdict(<class 'list'>, {4: [(31, 3), (34, 1)], 5: [(19, 1), (21, 1), (28, 1), (35, 2)], 6: [(26, 1), (28, 2)], 7: [(4, 1)]})"
Spell,Impervius,"defaultdict(<class 'list'>, {3: [(9, 1)], 5: [(18, 3)], 7: [(12, 1), (26, 1)]})"
Spell,Incarcerous,"defaultdict(<class 'list'>, {5: [(33, 1)], 6: [(26, 1)]})"
Spell,Incendio,"defaultdict(<class 'list'>, {4: [(4, 1)], 6: [(28, 1), (29, 1)]})"
Spell,Langlock,"defaultdict(<class 'list'>, {6: [(19, 1)]})"
Spell,Levicorpus,"defaultdict(<class 'list'>, {6: [(12, 2), (16, 1), (18, 1), (24, 1)], 7: [(26, 1)]})"
Spell,Liberacorpus,"defaultdict(<class 'list'>, {6: [(12, 1)], 7: [(26, 1)]})"
Spell,Locomotor,"defaultdict(<class 'list'>, {1: [(13, 1)], 5: [(3, 1), (26, 1)], 7: [(30, 1)]})"
Spell,Mobiliarbus,"defaultdict(<class 'list'>, {3: [(10, 1)]})"
Spell,Mobilicorpus,"defaultdict(<class 'list'>, {3: [(19, 1)]})"
Spell,Molliare,"defaultdict(<class 'list'>, {})"
Spell,Muffliato,"defaultdict(<class 'list'>, {6: [(12, 2), (14, 1), (19, 2), (24, 1)], 7: [(7, 1), (13, 2), (14, 1), (15, 2)]})"
Spell,Nox,"defaultdict(<class 'list'>, {3: [(17, 1)], 7: [(32, 1)]})"
Spell,Obliviate,"defaultdict(<class 'list'>, {2: [(16, 1)], 4: [(7, 1)], 7: [(9, 1), (21, 1)]})"
Spell,Obscuro,"defaultdict(<class 'list'>, {7: [(15, 1)]})"
Spell,Obscurus,"defaultdict(<class 'list'>, {})"
Spell,Oppugno,"defaultdict(<class 'list'>, {6: [(14, 1)]})"
Spell,Orchideous,"defaultdict(<class 'list'>, {4: [(18, 1)]})"
Spell,Pack,"defaultdict(<class 'list'>, {1: [(3, 2), (6, 1), (12, 1), (15, 1), (16, 1)], 2: [(3, 1), (4, 1), (5, 1), (6, 1), (8, 1), (15, 1)], 3: [(4, 1), (6, 1)], 4: [(6, 1), (10, 2), (13, 1), (22, 1), (24, 1), (37, 1)], 5: [(2, 1), (3, 1), (9, 1), (15, 1), (38, 1)], 6: [(6, 2), (7, 1), (10, 1), (14, 1), (18, 1), (30, 1)], 7: [(7, 2), (10, 1), (31, 1)]})"
Spell,Portus,"defaultdict(<class 'list'>, {5: [(22, 1), (36, 1)]})"
Spell,Protego,"defaultdict(<class 'list'>, {5: [(26, 1), (35, 2), (36, 1)], 6: [(9, 1)], 7: [(9, 1), (14, 1), (15, 1), (19, 1), (22, 1), (26, 1), (30, 1), (36, 1)]})"
Spell,Quietus,"defaultdict(<class 'list'>, {4: [(8, 1)]})"
Spell,Reducio,"defaultdict(<class 'list'>, {4: [(14, 1)], 7: [(20, 1)]})"
Spell,Reducto,"defaultdict(<class 'list'>, {4: [(31, 1)], 5: [(35, 1)], 6: [(27, 2)]})"
Spell,Relashio,"defaultdict(<class 'list'>, {4: [(26, 1)], 6: [(10, 1)], 7: [(13, 1), (23, 1), (26, 1)]})"
Spell,Rennervate,"defaultdict(<class 'list'>, {4: [(9, 1), (28, 1), (35, 1)], 6: [(26, 2)]})"
Spell,Reparo,"defaultdict(<class 'list'>, {4: [(11, 1)], 5: [(15, 1), (26, 1), (30, 1)], 6: [(10, 1), (11, 1), (14, 1), (20, 1)], 7: [(4, 1), (17, 1), (36, 1)]})"
Spell,Rictusempra,"defaultdict(<class 'list'>, {2: [(11, 1)]})"
Spell,Scourgify,"defaultdict(<class 'list'>, {5: [(3, 1), (10, 1), (28, 1)]})"
Spell,Serpensortia,"defaultdict(<class 'list'>, {2: [(11, 1)]})"
Spell,Silencio,"defaultdict(<class 'list'>, {5: [(18, 7), (35, 1)]})"
Spell,Sonorus,"defaultdict(<class 'list'>, {4: [(8, 1), (26, 1), (31, 1)]})"
Spell,Stupefy,"defaultdict(<class 'list'>, {4: [(9, 1), (19, 1), (31, 7), (35, 1)], 5: [(28, 1), (35, 5), (36, 1)], 6: [(28, 1)], 7: [(4, 1), (9, 1), (13, 2), (23, 4), (26, 1)]})"
Spell,Taboo,"defaultdict(<class 'list'>, {7: [(20, 2), (22, 1)]})"
Spell,Tarantellegra,"defaultdict(<class 'list'>, {})"
Spell,Tergeo,"defaultdict(<class 'list'>, {6: [(8, 1)], 7: [(6, 1), (17, 1)]})"
Spell,Waddiwasi,"defaultdict(<class 'list'>, {3: [(7, 1)]})"
Spell--Unforgivable Curse,Imperio,"defaultdict(<class 'list'>, {4: [(14, 1), (15, 1), (34, 1)], 7: [(26, 4), (30, 1)]})"
Type of spell,hexes,"defaultdict(<class 'list'>, {4: [(20, 1), (26, 1), (29, 3), (31, 4)], 5: [(6, 1), (22, 1), (23, 1), (28, 1), (38, 1)], 6: [(6, 1), (9, 1), (10, 1), (12, 1), (28, 1)]})"
Type of spell,jinxes,"defaultdict(<class 'list'>, {3: [(11, 1), (12, 1)], 4: [(37, 1)], 5: [(5, 1), (9, 1), (15, 3), (16, 1), (17, 1), (18, 2), (22, 2), (25, 1), (38, 1)], 6: [(5, 3), (6, 1), (8, 1), (9, 1), (12, 1), (15, 1), (16, 1), (28, 1), (29, 1)], 7: [(9, 2), (36, 1)]})"
Type of wizard,Half-blood,"defaultdict(<class 'list'>, {})"
Type of wizard,Half-breed,"defaultdict(<class 'list'>, {})"
Type of wizard,Muggle-born,"defaultdict(<class 'list'>, {})"
Type of wizard,Obscurial,"defaultdict(<class 'list'>, {})"
Type of wizard,Pure-blood,"defaultdict(<class 'list'>, {})"
Type of wizard pet,boarhound,"defaultdict(<class 'list'>, {1: [(8, 1), (14, 1)], 2: [(7, 1), (14, 2), (15, 1)], 3: [(6, 2), (11, 1), (21, 1)], 4: [(13, 1)], 6: [(11, 1)], 7: [(31, 1)]})"
Type of wizard pet,cat,"defaultdict(<class 'list'>, {1: [(1, 20), (5, 1), (8, 2)], 2: [(2, 3), (8, 5), (9, 9), (12, 2), (17, 3)], 3: [(3, 1), (4, 3), (6, 1), (8, 2), (10, 1), (11, 2), (12, 1), (13, 1), (14, 3), (15, 1), (17, 6), (19, 3), (21, 1), (22, 1)], 4: [(2, 1), (5, 2), (11, 1), (25, 3)], 5: [(1, 2), (2, 3), (3, 1), (4, 1), (5, 1), (8, 1), (10, 1), (14, 2), (22, 1)], 6: [(5, 1), (7, 1), (14, 1), (18, 1), (20, 3), (27, 1)], 7: [(6, 1), (9, 1), (10, 2), (13, 4), (17, 1), (28, 2)]})"
Type of wizard pet,frog,"defaultdict(<class 'list'>, {1: [(4, 1), (6, 2), (7, 1), (12, 2), (13, 2), (17, 1)], 2: [(3, 1), (8, 2)], 3: [(12, 2), (14, 1)], 4: [(5, 2), (13, 2), (19, 1), (26, 2), (28, 1), (29, 1)], 5: [(3, 2), (5, 1), (10, 5), (17, 1), (18, 4), (21, 2), (23, 1), (24, 1), (26, 1), (38, 2)], 6: [(15, 1)], 7: [(2, 1), (6, 1)]})"
Type of wizard pet,rat,"defaultdict(<class 'list'>, {1: [(2, 1), (6, 5)], 2: [(3, 1), (5, 1), (8, 1), (9, 1), (12, 1), (13, 1)], 3: [(1, 1), (4, 11), (7, 2), (12, 1), (13, 2), (16, 4), (17, 8), (18, 2), (19, 13), (21, 4), (22, 1)], 4: [(5, 2), (26, 1)], 5: [(9, 1), (23, 2), (31, 1)]})"
Type of wizard pet,spider,"defaultdict(<class 'list'>, {1: [(2, 1)], 2: [(9, 1), (15, 9)], 3: [(1, 1), (7, 2), (8, 2)], 4: [(14, 18), (18, 1), (31, 10), (36, 1)], 5: [(6, 1), (28, 1)], 6: [(4, 2), (11, 2), (22, 5)], 7: [(4, 1), (20, 5), (28, 1), (32, 2)]})"
Wizarding exam,N.E.W.T.s,"defaultdict(<class 'list'>, {})"
Wizarding exam,O.W.L.s,"defaultdict(<class 'list'>, {})"
